RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,47959,Bryson DeChambeau,323.7,51790,160
2,0,28237,Rory McIlroy,319.3,47252,148
3,0,52372,Cameron Champ,317.1,47568,150
4,0,56278,Matthew Wolff,315.9,34748,110
5,0,56762,Will Gordon,315.0,55434,176
6,0,51766,Wyndham Clark,314.6,49074,156
7,0,30925,Dustin Johnson,312.9,45063,144
8,0,27129,Luke List,312.7,55654,178
9,0,27064,Jhonattan Vegas,312.1,54924,176
10,0,46550,Brandon Hagy,311.6,46124,148
11,0,28420,Ryan Brehm,311.5,36131,116
12,0,36689,Brooks Koepka,310.7,41012,132
13,0,45486,Joaquin Niemann,310.6,63359,204
14,0,34255,Joseph Bramlett,309.6,48304,156
15,0,31323,Gary Woodland,309.5,43329,140
16,0,21209,Sergio Garcia,309.4,45788,148
16,0,40042,Tyler McCumber,309.4,42083,136
18,0,29970,Dylan Frittelli,309.3,44535,144
19,0,45157,Cam Davis,309.0,58089,188
19,0,46970,Jon Rahm,309.0,47580,154
21,0,30944,Jason Kokrak,307.9,54193,176
22,0,48081,Xander Schauffele,307.6,46756,152
23,0,47483,Will Zalatoris,307.4,53493,174
24,0,39546,Keith Mitchell,307.2,51610,168
25,0,32333,Kevin Tway,307.0,38070,124
26,0,36699,Patrick Rodgers,306.7,62564,204
27,0,20229,Stewart Cink,306.6,55181,180
28,0,12716,Charley Hoffman,306.5,60690,198
29,0,24502,Adam Scott,306.0,44059,144
30,0,27554,Scott Harrington,305.8,48311,158
31,0,29725,Tony Finau,305.5,54991,180
31,0,34213,Grayson Murray,305.5,29935,98
33,0,47504,Sam Burns,305.3,51287,168
33,0,40006,Erik van Rooyen,305.3,44579,146
35,0,35461,Beau Hossler,305.1,53706,176
36,0,46046,Scottie Scheffler,305.0,59785,196
37,0,35658,Kris Ventura,304.7,42651,140
38,0,23320,Ryan Palmer,304.6,45074,148
38,0,25804,Bubba Watson,304.6,42039,138
40,0,26300,Matt Jones,304.0,62026,204
41,0,25364,Paul Casey,303.9,43760,144
41,0,33448,Justin Thomas,303.9,51063,168
43,0,35617,Martin Trainer,303.6,35823,118
44,0,49960,Sepp Straka,303.2,58218,192
45,0,34264,Hudson Swafford,303.1,49713,164
46,0,33667,Carlos Ortiz,303.0,55756,184
46,0,26331,Charl Schwartzel,303.0,52117,172
48,0,35310,Lanto Griffin,302.9,54528,180
48,0,27141,J.B. Holmes,302.9,29078,96
50,0,35450,Patrick Cantlay,302.8,47240,156
51,0,33948,Byeong Hun An,302.6,50836,168
52,0,35104,Tom Lewis,302.5,48404,160
53,0,46717,Viktor Hovland,302.2,50162,166
54,0,01810,Phil Mickelson,301.8,44665,148
55,0,32757,Patton Kizzire,300.9,61381,204
56,0,30911,Tommy Fleetwood,300.8,36095,120
56,0,39977,Max Homa,300.8,51742,172
58,0,37189,Harold Varner III,300.7,54125,180
59,0,49964,Aaron Wise,300.6,48102,160
60,0,28089,Jason Day,300.3,39038,130
61,0,33141,Keegan Bradley,300.2,51638,172
62,0,32070,Rafael Campos,299.9,35986,120
62,0,32839,Hideki Matsuyama,299.9,55774,186
62,0,49771,J.T. Poston,299.9,50375,168
65,0,33204,Shane Lowry,299.6,45546,152
66,0,47347,Adam Schenk,299.5,61107,204
66,0,34046,Jordan Spieth,299.5,52717,176
68,0,34099,Harris English,299.4,55090,184
69,0,34314,Sebastian Cappelen,299.3,32328,108
69,0,29518,Brendan Steele,299.3,45490,152
69,0,27095,Nick Watney,299.3,32321,108
72,0,46402,Talor Gooch,299.1,53846,180
73,0,32662,Michael Gligic,299.0,47839,160
73,0,34363,Tyrrell Hatton,299.0,33485,112
75,0,33597,Harry Higgs,298.9,47821,160
76,0,29268,Bronson Burgoon,298.8,43020,144
77,0,46442,Maverick McNealy,298.7,46595,156
78,0,29926,Danny Lee,298.5,35221,118
78,0,24140,Sean O'Hair,298.5,30443,102
80,0,31420,Anirban Lahiri,298.4,40576,136
80,0,32791,K.H. Lee,298.4,63260,212
80,0,48887,Matt Wallace,298.4,31630,106
83,0,31646,Emiliano Grillo,298.2,57247,192
83,0,25818,Scott Piercy,298.2,47110,158
85,0,27349,Alex Noren,297.9,48852,164
85,0,35891,Cameron Smith,297.9,48857,164
87,0,26329,Louis Oosthuizen,297.8,44076,148
88,0,21961,Charles Howell III,297.6,41657,140
89,0,34563,Chesson Hadley,297.5,42839,144
89,0,48822,Sebasti치n Mu침oz,297.5,60692,204
89,0,22405,Justin Rose,297.5,32125,108
89,0,33419,Cameron Tringale,297.5,54735,184
93,0,30692,Scott Stallings,297.4,45199,152
93,0,25632,Jimmy Walker,297.4,44020,148
95,0,37275,Sam Ryder,297.2,51121,172
96,0,32448,James Hahn,297.1,41593,140
96,0,39971,Sungjae Im,297.1,72490,244
98,0,32102,Rickie Fowler,297.0,46332,156
99,0,40026,Daniel Berger,296.7,49841,168
100,0,51894,Vince Whaley,296.6,47459,160
101,0,37455,Si Woo Kim,296.3,55707,188
101,0,29908,C.T. Pan,296.3,47412,160
103,0,24781,Hunter Mahan,296.2,33762,114
104,0,27936,Martin Laird,295.9,47337,160
104,0,36871,Matthew NeSmith,295.9,52076,176
106,0,24924,Bill Haas,295.8,26030,88
106,0,33486,Roger Sloan,295.8,48514,164
108,0,27214,Kevin Streelman,295.6,56762,192
108,0,48119,Ben Taylor,295.6,29556,100
110,0,39997,Corey Conners,295.4,61440,208
110,0,47993,Denny McCarthy,295.4,55542,188
112,0,50525,Collin Morikawa,295.2,46053,156
113,0,28252,Seamus Power,295.1,34232,116
114,0,49766,Hank Lebioda,295.0,42476,144
115,0,25900,Lucas Glover,294.9,56620,192
116,0,29420,Billy Horschel,294.7,50684,172
117,0,29479,Scott Brown,294.5,47112,160
118,0,30163,Henrik Norlander,294.1,49405,168
118,0,20396,Lee Westwood,294.1,36470,124
120,0,53165,Doc Redman,294.0,44684,152
120,0,25493,Nick Taylor,294.0,52918,180
122,0,47128,Richy Werenski,293.9,50556,172
122,0,32139,Danny Willett,293.9,27622,94
124,0,29974,Branden Grace,293.8,47596,162
124,0,26851,Marc Leishman,293.8,44650,152
126,0,46441,Robby Shelton,293.7,46984,160
127,0,40098,Matt Fitzpatrick,293.5,38736,132
127,0,35506,Mackenzie Hughes,293.5,52829,180
129,0,33399,Adam Hadwin,293.4,51634,176
130,0,39975,Michael Kim,293.2,40457,138
130,0,23623,Bo Van Pelt,293.2,42220,144
132,0,52375,Doug Ghim,292.9,50383,172
133,0,27974,Sung Kang,292.7,50341,172
134,0,31557,Jim Herman,292.5,38612,132
134,0,29221,Webb Simpson,292.5,43284,148
134,0,27770,Camilo Villegas,292.5,45038,154
137,0,28775,Nate Lashley,292.4,44448,152
137,0,33413,Ben Martin,292.4,29236,100
139,0,34076,Joel Dahmen,292.3,47938,164
139,0,34431,Robert Streb,292.3,47938,164
141,0,24361,Pat Perez,292.2,56109,192
142,0,48045,Michael Gellerman,292.1,27453,94
142,0,30110,Kyle Stanley,292.1,52577,180
144,0,33404,Chris Baker,291.9,31526,108
144,0,30926,Chris Kirk,291.9,50209,172
144,0,23788,D.J. Trahan,291.9,38527,132
147,0,27644,Brian Harman,291.7,58338,200
147,0,32254,Xinjun Zhang,291.7,39666,136
149,0,34360,Patrick Reed,291.4,45457,156
150,0,32618,Rhein Gibson,291.2,32616,112
150,0,33122,Russell Knox,291.2,53572,184
152,0,39953,Chase Seiffert,290.9,45381,156
153,0,49298,Kramer Hickok,290.8,40135,138
154,0,33490,Bo Hoag,290.7,50585,174
155,0,34174,John Huh,290.5,33703,116
155,0,34466,Peter Malnati,290.5,46481,160
157,0,45526,Abraham Ancer,290.4,56909,196
157,0,33410,Andrew Landry,290.4,38328,132
159,0,45609,Tyler Duncan,290.0,52198,180
159,0,27330,Josh Teater,290.0,27837,96
161,0,32640,Troy Merritt,289.9,56817,196
162,0,34098,Russell Henley,289.8,48689,168
163,0,25686,Jason Dufner,289.6,49809,172
164,0,22371,Aaron Baddeley,289.3,31242,108
165,0,46435,Austin Cook,289.2,41646,144
165,0,35532,Tom Hoge,289.2,55525,192
167,0,29478,Kevin Kisner,289.1,45106,156
168,0,24024,Zach Johnson,289.0,48558,168
169,0,35449,Adam Long,288.6,48492,168
170,0,25396,Kevin Na,288.5,50193,174
171,0,27556,Ted Potter Jr.,288.4,39218,136
172,0,35230,Nelson Ledesma,288.2,27665,96
173,0,29535,Brice Garnett,288.1,53005,184
173,0,32150,Michael Thompson,288.1,42644,148
175,0,26499,Rafa Cabrera Bello,288.0,42619,148
176,0,23108,Matt Kuchar,287.8,37987,132
177,0,23621,Rory Sabbatini,287.5,43125,150
178,0,19846,Brian Gay,286.8,40151,140
179,0,33120,Mark Anderson,286.7,32108,112
179,0,22056,Cameron Percy,286.7,44150,154
181,0,27649,Brandt Snedeker,286.6,48149,168
182,0,32816,Satoshi Kodaira,286.2,43504,152
183,0,23983,Luke Donald,286.1,32048,112
184,0,39324,J.J. Spaun,285.7,41140,144
185,0,24138,Ian Poulter,285.2,41067,144
186,0,27942,Rob Oppenheim,284.2,42068,148
187,0,34256,Andrew Putnam,283.8,50517,178
188,0,28679,Fabi치n G칩mez,283.3,30598,108
189,0,19803,Ryan Armour,282.0,43999,156
190,0,26476,Chez Reavie,281.9,47366,168
191,0,36801,Mark Hubbard,280.2,53802,192
192,0,23325,Vaughn Taylor,278.4,43431,156
193,0,31560,Brian Stuard,277.8,57772,208
194,0,30927,Brendon Todd,275.2,47336,172
195,0,26758,David Hearn,274.7,35166,128
196,0,24357,K.J. Choi,269.2,27998,104