RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
1,0,52514,Trace Crowe,40' 11",1186.167,29,-8
2,0,52375,Doug Ghim,41' 0",2911.750,71,-34
3,0,33968,ThorbjÃ¸rn Olesen,42' 3",1393.417,33,-11
4,0,46441,Robby Shelton,42' 5",2079.417,49,-20
5,0,35532,Tom Hoge,42' 7",3318.833,78,-29
6,0,56149,Wilson Furr,43' 2",1207.667,28,-15
7,0,52666,Sami Valimaki,43' 9",2055.250,47,-14
8,0,52215,Robert MacIntyre,44' 4",2481.500,56,-16
9,0,39324,J.J. Spaun,44' 9",2505.667,56,-31
10,0,48867,Matti Schmid,45' 1",2073.583,46,-17
11,0,26476,Chez Reavie,45' 4",1633.333,36,-3
12,0,51287,Ryo Hisatsune,45' 8",2741.250,60,-24
13,0,51634,Sahith Theegala,45' 10",2932.500,64,-18
14,0,32367,Jorge Campillo,46' 4",1669.000,36,-14
15,0,39975,Michael Kim,46' 5",2227.583,48,-11
16,0,54628,Lee Hodges,46' 8",3222.000,69,-19
17,0,48081,Xander Schauffele,46' 9",3597.333,77,-34
18,0,50095,Austin Smotherman,47' 1",1364.333,29,-15
19,0,56630,Akshay Bhatia,47' 3",3214.250,68,-17
19,0,47806,Raul Pereda,47' 3",755.417,16,-6
21,0,52453,Nicolai HÃ¸jgaard,47' 4",1562.917,33,-9
21,0,27330,Josh Teater,47' 4",1183.833,25,-10
23,0,47663,Kevin Dougherty,47' 6",1805.333,38,-13
23,0,33399,Adam Hadwin,47' 6",2993.833,63,-16
25,0,33486,Roger Sloan,47' 8",1619.333,34,-8
26,0,32366,Kevin Chappell,47' 9",1192.833,25,-13
26,0,29908,C.T. Pan,47' 9",2436.083,51,-22
28,0,30911,Tommy Fleetwood,47' 10",3300.750,69,-22
28,0,47983,Chad Ramey,47' 10",2728.167,57,-15
30,0,12716,Charley Hoffman,47' 11",1965.750,41,-7
30,0,57900,Chandler Phillips,47' 11",2633.583,55,-21
32,0,52372,Cameron Champ,48' 0",1966.667,41,-25
33,0,33653,Thomas Detry,48' 1",2594.417,54,-12
34,0,35450,Patrick Cantlay,48' 3",2411.833,50,-18
34,0,32102,Rickie Fowler,48' 3",2171.583,45,-8
34,0,39546,Keith Mitchell,48' 3",2893.250,60,-27
37,0,33448,Justin Thomas,48' 4",2515.167,52,-18
38,0,51997,Andrew Novak,48' 5",2760.417,57,-24
39,0,57362,Austin Eckroat,48' 7",3353.083,69,-25
40,0,59442,Parker Coody,48' 8",1411.000,29,-7
40,0,30163,Henrik Norlander,48' 8",1750.917,36,-13
40,0,36699,Patrick Rodgers,48' 8",2726.167,56,-24
43,0,45522,Christiaan Bezuidenhout,48' 9",2728.333,56,-7
43,0,55893,Sam Stevens,48' 9",2631.333,54,-15
45,0,33141,Keegan Bradley,48' 11",2837.333,58,-16
45,0,28775,Nate Lashley,48' 11",2398.250,49,-16
47,0,48699,Callum Tarren,49' 0",2155.250,44,-9
47,0,52513,Carson Young,49' 0",2889.833,59,-19
49,0,34076,Joel Dahmen,49' 1",2208.917,45,-7
49,0,37455,Si Woo Kim,49' 1",3094.333,63,-14
49,0,34256,Andrew Putnam,49' 1",2942.833,60,-7
52,0,39971,Sungjae Im,49' 2",3540.500,72,-25
53,0,51977,Max Greyserman,49' 3",2463.000,50,-17
53,0,58168,Davis Thompson,49' 3",3051.333,62,-18
53,0,27064,Jhonattan Vegas,49' 3",1871.333,38,-11
56,0,32640,Troy Merritt,49' 5",2025.250,41,-8
56,0,40250,Taylor Pendrith,49' 5",2370.083,48,-7
58,0,29725,Tony Finau,49' 6",3216.250,65,-9
58,0,46414,Aaron Rai,49' 6",3812.333,77,-19
60,0,32839,Hideki Matsuyama,49' 7",2480.250,50,-13
61,0,54591,Ben Griffin,49' 8",3126.583,63,-16
61,0,46046,Scottie Scheffler,49' 8",3375.417,68,-25
61,0,48119,Ben Taylor,49' 8",1886.417,38,-15
64,0,36326,David Lipsky,49' 9",2089.083,42,-13
64,0,59143,Mac Meissner,49' 9",2388.917,48,-16
64,0,52374,Brandon Wu,49' 9",1939.917,39,-10
67,0,51696,Rico Hoey,49' 10",2241.583,45,-12
68,0,32757,Patton Kizzire,50' 3",1406.083,28,-15
69,0,25493,Nick Taylor,50' 4",2921.000,58,-17
70,0,52955,Ludvig Ãberg,50' 5",3275.500,65,-23
70,0,25900,Lucas Glover,50' 5",3225.250,64,-13
70,0,46717,Viktor Hovland,50' 5",2468.750,49,-16
73,0,29936,Ryan Fox,50' 7",2629.083,52,-13
73,0,50188,S.H. Kim,50' 7",3846.917,76,-25
73,0,55182,Tom Kim,50' 7",3642.583,72,-18
73,0,24502,Adam Scott,50' 7",2985.083,59,-21
77,0,54421,Garrick Higgo,50' 8",1468.500,29,-9
78,0,47993,Denny McCarthy,50' 9",2893.083,57,-14
78,0,51070,Vincent Norrman,50' 9",1876.333,37,-8
80,0,27214,Kevin Streelman,50' 10",2491.833,49,-14
80,0,40115,Adam Svensson,50' 10",3968.000,78,-23
82,0,48084,Wesley Bryan,50' 11",1222.667,24,-10
82,0,35506,Mackenzie Hughes,50' 11",3566.250,70,-23
82,0,55454,Carl Yuan,50' 11",1731.417,34,-16
85,0,45157,Cam Davis,51' 0",3009.333,59,-20
86,0,29221,Webb Simpson,51' 1",1635.250,32,-8
87,0,38991,Alejandro Tosti,51' 2",2250.583,44,-12
88,0,60067,Joe Highsmith,51' 3",1795.083,35,-13
89,0,39997,Corey Conners,51' 4",3696.917,72,-18
89,0,33204,Shane Lowry,51' 4",2926.250,57,-23
89,0,28237,Rory McIlroy,51' 4",3029.000,59,-25
89,0,36871,Matt NeSmith,51' 4",1797.250,35,-10
93,0,28420,Ryan Brehm,51' 5",1644.083,32,-4
93,0,27139,David Skinns,51' 5",2312.667,45,-17
95,0,48117,Kurt Kitayama,51' 6",2782.750,54,-18
96,0,34098,Russell Henley,51' 7",2942.333,57,-14
96,0,27129,Luke List,51' 7",2890.667,56,-22
98,0,48887,Matt Wallace,51' 10",1969.417,38,-2
98,0,48319,Tom Whitney,51' 10",2230.167,43,-16
100,0,27349,Alex Noren,51' 11",2490.333,48,-20
101,0,55708,Hayden Buckley,52' 0",2340.583,45,-9
102,0,60004,Jacob Bridgeman,52' 1",1719.583,33,-13
102,0,47591,Eric Cole,52' 1",4116.333,79,-26
102,0,45609,Tyler Duncan,52' 1",2186.083,42,-11
102,0,51890,Greyson Sigg,52' 1",2813.583,54,-14
106,0,40058,Zac Blair,52' 2",3545.917,68,-1
106,0,45242,Kevin Yu,52' 2",2608.250,50,-12
108,0,39977,Max Homa,52' 4",3244.833,62,-11
108,0,34046,Jordan Spieth,52' 4",2928.833,56,-19
110,0,50497,Adrien Dumont de Chassart,52' 5",1939.333,37,-13
111,0,34021,Bud Cauley,52' 6",1628.500,31,-10
111,0,30927,Brendon Todd,52' 6",3882.667,74,-5
113,0,27644,Brian Harman,52' 8",3844.500,73,-17
113,0,50484,Hayden Springer,52' 8",1842.500,35,-12
115,0,36801,Mark Hubbard,52' 9",3642.000,69,-10
116,0,39327,Ben Silverman,52' 10",2590.833,49,-8
117,0,40026,Daniel Berger,52' 11",2433.583,46,-17
117,0,54576,Patrick Fishburn,52' 11",2009.917,38,-10
119,0,31323,Gary Woodland,53' 2",3240.750,61,-12
120,0,31646,Emiliano Grillo,53' 3",3566.500,67,-7
120,0,46442,Maverick McNealy,53' 3",3143.167,59,-18
120,0,50493,Justin Suh,53' 3",2611.000,49,-16
123,0,51349,Nico Echavarria,53' 4",2614.833,49,-19
123,0,24024,Zach Johnson,53' 4",2239.500,42,-15
123,0,46113,Ryan McCormick,53' 4",1226.667,23,-3
126,0,32070,Rafael Campos,53' 5",1869.417,35,-9
126,0,47483,Will Zalatoris,53' 5",2671.667,50,-5
128,0,30926,Chris Kirk,53' 7",3428.750,64,-7
128,0,47420,Jake Knapp,53' 7",3107.417,58,-15
128,0,26596,Ryan Moore,53' 7",2838.333,53,-11
131,0,49960,Sepp Straka,53' 8",3489.750,65,-9
132,0,51766,Wyndham Clark,53' 9",2847.417,53,-17
132,0,40162,Justin Lower,53' 9",2579.250,48,-9
132,0,47347,Adam Schenk,53' 9",3817.333,71,-29
135,0,59866,Nick Dunlap,53' 10",2638.417,49,-16
135,0,47679,Victor Perez,53' 10",2261.167,42,-6
137,0,55789,Taylor Montgomery,53' 11",1562.583,29,-7
138,0,49947,Taylor Moore,54' 1",4274.917,79,-17
139,0,57366,Cameron Young,54' 2",3683.417,68,-19
140,0,29535,Brice Garnett,54' 3",2388.083,44,-10
141,0,23320,Ryan Palmer,54' 4",1303.500,24,-4
142,0,33948,Byeong Hun An,54' 5",2612.833,48,-12
142,0,34099,Harris English,54' 5",3101.083,57,-12
142,0,22405,Justin Rose,54' 5",2938.750,54,-13
145,0,36799,Stephan Jaeger,54' 7",3441.000,63,-22
146,0,59836,Pierceson Coody,54' 8",2678.833,49,-19
147,0,33408,Tyson Alexander,54' 11",2579.750,47,-11
147,0,22371,Aaron Baddeley,54' 11",1921.167,35,+1
149,0,59095,Chris Gotterup,55' 0",2696.333,49,-11
149,0,34587,Chan Kim,55' 0",3078.750,56,-19
151,0,47504,Sam Burns,55' 1",3909.167,71,-27
152,0,36884,Ben Kohles,55' 3",3202.583,58,+4
153,0,37212,Paul Barjon,55' 4",1660.417,30,-13
153,0,49771,J.T. Poston,55' 4",3651.083,66,-16
153,0,46340,Alex Smalley,55' 4",2379.333,43,-15
156,0,37378,Min Woo Lee,55' 5",3160.833,57,-20
157,0,48153,Matthieu Pavon,55' 8",3005.500,54,-12
158,0,40006,Erik van Rooyen,55' 10",2792.333,50,-17
159,0,54783,Dylan Wu,56' 0",2802.000,50,-11
160,0,28252,Seamus Power,56' 3",3996.000,71,-24
161,0,28089,Jason Day,56' 4",3099.250,55,-14
162,0,40098,Matt Fitzpatrick,56' 5",2820.250,50,-12
163,0,37275,Sam Ryder,56' 6",2937.667,52,-17
164,0,35617,Martin Trainer,56' 7",1358.167,24,-9
165,0,27936,Martin Laird,57' 3",2404.833,42,-8
166,0,47988,Nick Hardy,57' 5",3443.333,60,-23
167,0,50525,Collin Morikawa,57' 6",3852.833,67,-17
168,0,35310,Lanto Griffin,57' 8",1672.833,29,-11
169,0,29420,Billy Horschel,57' 9",3408.667,59,-11
169,0,32333,Kevin Tway,57' 9",2021.083,35,-19
171,0,34255,Joseph Bramlett,57' 10",2951.583,51,-19
171,0,35461,Beau Hossler,57' 10",3991.917,69,-14
171,0,47995,Davis Riley,57' 10",3008.583,52,-24
174,0,23108,Matt Kuchar,57' 11",3126.417,54,-3
175,0,34374,Erik Barnes,58' 2",1861.333,32,-7
176,0,34563,Chesson Hadley,58' 10",2587.500,44,-18
177,0,60767,Blaine Hale Jr.,60' 0",1620.333,27,-6
178,0,27770,Camilo Villegas,60' 8",2003.250,33,-2
179,0,57975,Harry Hall,61' 9",2903.917,47,-21
180,0,34466,Peter Malnati,61' 10",3213.500,52,-7
181,0,32791,K.H. Lee,62' 11",2958.333,47,-13
182,0,29478,Kevin Kisner,63' 6",1776.917,28,E
183,0,51894,Vince Whaley,65' 3",2284.083,35,-7
184,0,27649,Brandt Snedeker,66' 9",2337.083,35,-2